richard,2024-12-01,muha,success
richard,2024-12-01,olok,success
richard,2024-12-01,olok,success
richard,2024-12-01,nini,failure
richard,2024-12-02,nini,success
richard,2024-12-02,gear,success
richard,2024-12-02,mimi,success
richard,2024-12-03,mimi,success
richard,2024-12-03,poul,success
richard,2024-12-03,papa,success
richard,2024-12-04,olok,success
richard,2024-12-04,olok,success
richard,2024-12-04,muha,success
richard,2024-12-04,poul,success
richard,2024-12-04,poul,success
richard,2024-12-04,mimi,success
richard,2024-12-04,nima,success
richard,2024-12-05,nima,success
richard,2024-12-05,nini,success
richard,2024-12-05,gear,success
richard,2024-12-05,mimi,failure
richard,2024-12-06,papa,success
richard,2024-12-06,poul,success
richard,2024-12-06,nini,success
richard,2024-12-06,nima,success
richard,2024-12-07,muha,success
richard,2024-12-07,nini,success
richard,2024-12-07,muha,success
richard,2024-12-07,olok,success
richard,2024-12-07,mimi,success
richard,2024-12-07,olok,success
richard,2024-12-07,papa,success
richard,2024-12-07,nini,failure
richard,2024-12-08,lolo,failure
richard,2024-12-08,muha,success
richard,2024-12-08,mimi,success
richard,2024-12-08,nima,failure
richard,2024-12-08,gear,success
richard,2024-12-09,gear,success
richard,2024-12-09,nima,failure
richard,2024-12-09,olok,success
richard,2024-12-09,gear,success
richard,2024-12-09,poul,success
richard,2024-12-09,poul,success
richard,2024-12-09,olok,success
richard,2024-12-09,gear,success
richard,2024-12-09,gear,success
richard,2024-12-10,nini,success
richard,2024-12-10,olok,success
richard,2024-12-10,mimi,success
richard,2024-12-10,olok,success
richard,2024-12-10,muha,success
richard,2024-12-10,gear,success
richard,2024-12-11,lolo,success
richard,2024-12-11,lolo,success
richard,2024-12-11,papa,success
richard,2024-12-11,gear,failure
richard,2024-12-11,papa,success
richard,2024-12-12,mimi,success
richard,2024-12-12,gear,success
richard,2024-12-12,poul,success
richard,2024-12-12,mimi,success
richard,2024-12-12,muha,failure
richard,2024-12-13,gear,success
richard,2024-12-13,gear,success
richard,2024-12-13,gear,success
richard,2024-12-13,lolo,success
richard,2024-12-13,muha,success
richard,2024-12-13,papa,failure
richard,2024-12-13,gear,success
richard,2024-12-14,olok,success
richard,2024-12-14,lolo,success
richard,2024-12-14,nima,success
richard,2024-12-14,gear,success
richard,2024-12-15,nini,success
richard,2024-12-15,papa,success
richard,2024-12-15,nini,failure
richard,2024-12-16,nini,failure
richard,2024-12-16,papa,failure
richard,2024-12-16,gear,success
richard,2024-12-16,nini,success
richard,2024-12-17,olok,success
richard,2024-12-17,poul,success
richard,2024-12-17,mimi,success
richard,2024-12-17,nima,success
richard,2024-12-18,gear,success
richard,2024-12-18,muha,success
richard,2024-12-19,poul,success
richard,2024-12-19,olok,success
richard,2024-12-19,poul,failure
richard,2024-12-19,gust,failure
richard,2024-12-20,mimi,success
richard,2024-12-20,gear,success
richard,2024-12-20,olok,success
richard,2024-12-20,papa,success
richard,2024-12-21,nini,success
richard,2024-12-21,papa,success
richard,2024-12-21,mimi,success
richard,2024-12-22,lolo,success
richard,2024-12-22,muha,success
richard,2024-12-22,poul,success
richard,2024-12-22,nima,failure
richard,2024-12-22,nima,success
richard,2024-12-22,muha,success
richard,2024-12-22,nima,success
richard,2024-12-22,lolo,success
richard,2024-12-23,gear,success
richard,2024-12-23,lolo,success
richard,2024-12-23,lolo,success
richard,2024-12-23,papa,success
richard,2024-12-24,mimi,success
richard,2024-12-24,mimi,success
richard,2024-12-24,lolo,success
richard,2024-12-24,olok,success
richard,2024-12-24,nima,success
richard,2024-12-25,olok,success
richard,2024-12-25,poul,success
richard,2024-12-25,muha,success
richard,2024-12-25,lolo,success
richard,2024-12-25,muha,success
richard,2024-12-25,muha,success
richard,2024-12-25,papa,success
richard,2024-12-25,mimi,success
richard,2024-12-25,olok,success
richard,2024-12-25,muha,success
richard,2024-12-25,muha,success
richard,2024-12-25,mimi,success
richard,2024-12-26,nini,success
richard,2024-12-26,muha,success
richard,2024-12-26,lolo,success
richard,2024-12-27,olok,success
richard,2024-12-27,nima,success
richard,2024-12-27,poul,success
richard,2024-12-28,nima,success
richard,2024-12-28,papa,success
richard,2024-12-29,lolo,success
richard,2024-12-29,lolo,success
richard,2024-12-29,mimi,success
richard,2024-12-29,poul,success
richard,2024-12-29,lolo,success
richard,2024-12-30,muha,failure
richard,2024-12-30,muha,success
